;trade value of zero indicates it cannot be traded

mine				data/models_strat/resource_mine.CAS


type				gold
trade_value			15
item				data/models_strat/resource_gold.CAS
item				data/models_strat/resource_gold_02.CAS
item				data/models_strat/resource_gold_03.CAS
icon				data/ui/resources/resource_gold.tga

type				silver
trade_value			10
item				data/models_strat/resource_silver.CAS
item				data/models_strat/resource_silver_02.CAS
item				data/models_strat/resource_silver_03.CAS
icon				data/ui/resources/resource_silver.tga

type				pottery
trade_value			2
item				data/models_strat/resource_pottery.CAS
item				data/models_strat/resource_pottery_02.CAS
item				data/models_strat/resource_pottery_03.CAS
icon				data/ui/resources/resource_pottery.tga

type				furs
trade_value			4
item				data/models_strat/resource_fur.CAS
icon				data/ui/resources/resource_furs.tga

type				grain
trade_value			7
item				data/models_strat/resource_grain.CAS
item				data/models_strat/resource_grain_02.CAS
item				data/models_strat/resource_grain_03.CAS
icon				data/ui/resources/resource_grain.tga

type				timber
trade_value			5
item				data/models_strat/resource_timber.CAS
item				data/models_strat/resource_timber_02.CAS
item				data/models_strat/resource_timber_03.CAS
icon				data/ui/resources/resource_timber.tga

type				iron
trade_value			6
item				data/models_strat/resource_iron.CAS
item				data/models_strat/resource_iron_02.CAS
item				data/models_strat/resource_iron_03.CAS
icon				data/ui/resources/resource_iron.tga

type				olive_oil
trade_value			5
item				data/models_strat/resource_olive_oil.CAS
item				data/models_strat/resource_olive_oil_02.CAS
item				data/models_strat/resource_olive_oil_03.CAS
icon				data/ui/resources/resource_olive_oil.tga

type				wine
trade_value			6
item				data/models_strat/resource_wine.CAS
item				data/models_strat/resource_wine_02.CAS
item				data/models_strat/resource_wine_03.CAS
icon				data/ui/resources/resource_wine.tga

type				slaves
trade_value			5
item				data/models_strat/resource_slaves.CAS
icon				data/ui/resources/resource_slaves.tga

type				glass
trade_value			8
item				data/models_strat/resource_glass.CAS
item				data/models_strat/resource_glass_02.CAS
item				data/models_strat/resource_glass_03.CAS
icon				data/ui/resources/resource_glass.tga

type				marble
trade_value			7
item				data/models_strat/resource_marble.CAS
item				data/models_strat/resource_marble_02.CAS
item				data/models_strat/resource_marble_03.CAS
icon				data/ui/resources/resource_marble.tga

type				textiles
trade_value			2
item				data/models_strat/resource_textiles.CAS
item				data/models_strat/resource_textiles_02.CAS
item				data/models_strat/resource_textiles_03.CAS
icon				data/ui/resources/resource_textiles.tga

type				purple_dye
trade_value			10
item				data/models_strat/resource_purple_dye.CAS
item				data/models_strat/resource_purple_dye_02.CAS
item				data/models_strat/resource_purple_dye_03.CAS
icon				data/ui/resources/resource_purple_dye.tga

type				incense
trade_value			9
item				data/models_strat/resource_incense.CAS
item				data/models_strat/resource_incense_02.CAS
item				data/models_strat/resource_incense_03.CAS
icon				data/ui/resources/resource_incense.tga

type				silk
trade_value			7
item				data/models_strat/resource_silk.CAS
item				data/models_strat/resource_silk_02.CAS
item				data/models_strat/resource_silk_03.CAS
icon				data/ui/resources/resource_silk.tga

type				wild_animals
trade_value			4
item				data/models_strat/resource_wild_animals.CAS
item				data/models_strat/resource_wild_animals_02.CAS
item				data/models_strat/resource_wild_animals_03.CAS
icon				data/ui/resources/resource_wild_animals.tga

type				hides
trade_value			2
item				data/models_strat/resource_hides.CAS
item				data/models_strat/resource_hides_02.CAS
item				data/models_strat/resource_hides_03.CAS
icon				data/ui/resources/resource_hides.tga

type				tin
trade_value			4
item				data/models_strat/resource_tin.CAS
item				data/models_strat/resource_tin_02.CAS
item				data/models_strat/resource_tin_03.CAS
icon				data/ui/resources/resource_tin.tga

type				copper
trade_value			5
item				data/models_strat/resource_copper.CAS
item				data/models_strat/resource_copper_02.CAS
item				data/models_strat/resource_copper_03.CAS
icon				data/ui/resources/resource_copper.tga

type				lead
trade_value			3
item				data/models_strat/resource_lead.CAS
item				data/models_strat/resource_lead_02.CAS
item				data/models_strat/resource_lead_03.CAS
icon				data/ui/resources/resource_lead.tga

type				amber
trade_value			8
item				data/models_strat/resource_amber.CAS
item				data/models_strat/resource_amber_02.CAS
item				data/models_strat/resource_amber_03.CAS
icon				data/ui/resources/resource_amber.tga

type				elephants
trade_value			0
item				data/models_strat/resource_elephants.CAS
item				data/models_strat/resource_elephants_02.CAS
item				data/models_strat/resource_elephants_03.CAS
icon				data/ui/resources/resource_elephants.tga

type				camels
trade_value			0
item				data/models_strat/resource_camels.CAS
item				data/models_strat/resource_camels_02.CAS
item				data/models_strat/resource_camels_03.CAS
icon				data/ui/resources/resource_camels.tga

type				pigs
trade_value			0
item				data/models_strat/resource_fur.CAS
icon				data/ui/resources/resource_pigs.tga

type				dogs
trade_value			0
item				data/models_strat/resource_fur.CAS
icon				data/ui/resources/resource_dogs.tga
